Airlines,Altitude (feet),Altitude (meters),Bearing,City,Code,Country,Distance,East,Elev ft.,IATA,Kind,Lat,Lat (DMS),Latitude,Long,Long (DMS),Longitude,Name,Nearby Cities and Towns,North,Pop est,Region,South,Time zone (est),Title,West,What
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Country,,,Elev ft.,,,Lat,,,Long,,,Name,,,Pop est,Region,,,,,What
,,,,,,Nigeria,,,830,,,7.32,,,8.55,,,Aanakar,,,11345,,,,,,city
,,,,,,Country,,,Elev ft.,,,Lat,,,Long,,,Name,,,Pop est,Region,,,,,What
,,,,,,Nigeria,,,830,,,7.98,,,3.13,,,Aba,,,8642,,,,,,city
,,,,,,Nigeria,,,830,,,7.70,,,3.57,,,Aba,,,10870,,,,,,city
,,,,,,Nigeria,,,830,,,7.62,,,3.75,,,Aba Ada,,,11931,,,,,,city
,,,,,,Nigeria,,,830,,,7.58,,,3.38,,,Aba Adefoju,,,10960,,,,,,city
,,,,,,Nigeria,,,1010,,,7.72,,,4.50,,,Aba Adi,,,105253,,,,,,city
,,,,,,Nigeria,,,1089,,,7.87,,,4.43,,,Aba Bale,,,70861,,,,,,city
,,,,,,Nigeria,,,1036,,,7.82,,,4.42,,,Aba Bale,,,50060,,,,,,city
,,,,,,Nigeria,,,1003,,,8.07,,,4.07,,,Aba Epo,,,7283,,,,,,city
,,,,,,Nigeria,,,830,,,7.77,,,3.67,,,Aba Ibadan,,,2229,,,,,,city
,,,,,,Nigeria,,,830,,,7.68,,,3.52,,,Aba Ibadan,,,10943,,,,,,city
,,,,,,Nigeria,,,410,,,7.57,,,3.40,,,Aba Ijesha,,,11175,,,,,,city
,,,,,,Nigeria,,,1003,,,8.20,,,3.92,,,Aba Ilowa,,,13105,,,,,,city
,,,,,,Nigeria,,,1669,,,8.08,,,4.38,,,Aba Ladunni,,,13982,,,,,,city
,,,,,,Nigeria,,,830,,,5.00,,,7.43,,,Aba Nkomini,,,25215,,,,,,city
,,,,,,Nigeria,,,830,,,7.80,,,3.30,,,Aba Nla,,,5041,,,,,,city
,,,,,,Nigeria,,,997,,,7.75,,,4.25,,,Aba Nla,,,5719,,,,,,city
,,,,,,Nigeria,,,830,,,7.60,,,4.37,,,Aba Oba,,,49811,,,,,,city
,,,,,,Nigeria,,,830,,,7.57,,,4.30,,,Aba Oba,,,17451,,,,,,city
,,,,,,Nigeria,,,997,,,7.83,,,4.38,,,Aba Ode,,,44435,,,,,,city
,,,,,,Nigeria,,,830,,,7.67,,,4.07,,,Aba Odedele,,,5520,,,,,,city
,,,,,,Nigeria,,,406,,,7.18,,,4.05,,,Aba Ogo,,,31728,,,,,,city
,,,,,,Nigeria,,,830,,,7.68,,,3.53,,,Aba Oja,,,10945,,,,,,city
,,,,,,Nigeria,,,830,,,7.52,,,4.13,,,Aba Oje,,,18082,,,,,,city
,,,,,,Nigeria,,,1003,,,8.03,,,3.85,,,Aba Oke,,,13112,,,,,,city
,,,,,,Nigeria,,,830,,,7.57,,,3.70,,,Aba Oke,,,9239,,,,,,city
